T / K	p / MPa	u / kJ/kg	h / kJ/kg	s / kJ/kgK	v / m3/kg	cp / kJ/kgK	cv / kJ/kgK
3.33049650e+02	1.98533473e+04	2.45577679e+06	2.60867075e+06	7.90978294e+03	7.70116767e+00	1.96616592e+03	1.48007028e+03
3.33423960e+02	2.02000750e+04	2.45626553e+06	2.60932207e+06	7.90378948e+03	7.57702831e+00	1.96689160e+03	1.48057298e+03
3.33798270e+02	2.05519445e+04	2.45675398e+06	2.60997300e+06	7.89781351e+03	7.45520799e+00	1.96762118e+03	1.48107783e+03
3.34172581e+02	2.09090173e+04	2.45724213e+06	2.61062353e+06	7.89185499e+03	7.33565795e+00	1.96835469e+03	1.48158486e+03
3.34546891e+02	2.12713553e+04	2.45772998e+06	2.61127365e+06	7.88591382e+03	7.21833052e+00	1.96909220e+03	1.48209411e+03
3.34921201e+02	2.16390209e+04	2.45821753e+06	2.61192338e+06	7.87998994e+03	7.10317919e+00	1.96983374e+03	1.48260559e+03
3.35295512e+02	2.20120770e+04	2.45870478e+06	2.61257269e+06	7.87408328e+03	6.99015847e+00	1.97057936e+03	1.48311935e+03
3.35669822e+02	2.23905872e+04	2.45919173e+06	2.61322160e+06	7.86819376e+03	6.87922396e+00	1.97132911e+03	1.48363542e+03
3.36044132e+02	2.27746155e+04	2.45967837e+06	2.61387009e+06	7.86232132e+03	6.77033227e+00	1.97208304e+03	1.48415383e+03
3.36418442e+02	2.31642265e+04	2.46016471e+06	2.61451816e+06	7.85646588e+03	6.66344100e+00	1.97284120e+03	1.48467460e+03
3.36792753e+02	2.35594853e+04	2.46065073e+06	2.61516582e+06	7.85062737e+03	6.55850874e+00	1.97360363e+03	1.48519778e+03
3.37167063e+02	2.39604576e+04	2.46113645e+06	2.61581306e+06	7.84480572e+03	6.45549500e+00	1.97437039e+03	1.48572340e+03
3.37541373e+02	2.43672096e+04	2.46162184e+06	2.61645987e+06	7.83900086e+03	6.35436025e+00	1.97514153e+03	1.48625149e+03
3.37915684e+02	2.47798080e+04	2.46210693e+06	2.61710626e+06	7.83321272e+03	6.25506584e+00	1.97591710e+03	1.48678208e+03
3.38289994e+02	2.51983202e+04	2.46259169e+06	2.61775221e+06	7.82744124e+03	6.15757400e+00	1.97669715e+03	1.48731521e+03
3.38664304e+02	2.56228140e+04	2.46307614e+06	2.61839773e+06	7.82168634e+03	6.06184781e+00	1.97748174e+03	1.48785091e+03
3.39038615e+02	2.60533579e+04	2.46356026e+06	2.61904282e+06	7.81594794e+03	5.96785121e+00	1.97827090e+03	1.48838923e+03
3.39412925e+02	2.64900208e+04	2.46404405e+06	2.61968747e+06	7.81022600e+03	5.87554894e+00	1.97906471e+03	1.48893019e+03
3.39787235e+02	2.69328722e+04	2.46452752e+06	2.62033167e+06	7.80452043e+03	5.78490653e+00	1.97986321e+03	1.48947382e+03
3.40161546e+02	2.73819822e+04	2.46501067e+06	2.62097543e+06	7.79883116e+03	5.69589029e+00	1.98066646e+03	1.49002018e+03
3.40535856e+02	2.78374216e+04	2.46549348e+06	2.62161874e+06	7.79315814e+03	5.60846729e+00	1.98147451e+03	1.49056929e+03
3.40910166e+02	2.82992614e+04	2.46597595e+06	2.62226160e+06	7.78750128e+03	5.52260534e+00	1.98228741e+03	1.49112118e+03
3.41284476e+02	2.87675735e+04	2.46645809e+06	2.62290401e+06	7.78186053e+03	5.43827296e+00	1.98310523e+03	1.49167591e+03
3.41658787e+02	2.92424303e+04	2.46693990e+06	2.62354596e+06	7.77623581e+03	5.35543939e+00	1.98392801e+03	1.49223349e+03
3.42033097e+02	2.97239046e+04	2.46742136e+06	2.62418745e+06	7.77062707e+03	5.27407453e+00	1.98475581e+03	1.49279398e+03
3.42407407e+02	3.02120700e+04	2.46790248e+06	2.62482848e+06	7.76503423e+03	5.19414898e+00	1.98558870e+03	1.49335741e+03
3.42781718e+02	3.07070006e+04	2.46838326e+06	2.62546904e+06	7.75945722e+03	5.11563395e+00	1.98642672e+03	1.49392381e+03
3.43156028e+02	3.12087710e+04	2.46886369e+06	2.62610913e+06	7.75389598e+03	5.03850134e+00	1.98726994e+03	1.49449323e+03
3.43530338e+02	3.17174564e+04	2.46934377e+06	2.62674874e+06	7.74835045e+03	4.96272362e+00	1.98811841e+03	1.49506571e+03
